last,first,name,Birthday,Year,Month,Day
Mullen,Mickey,Mickey Mullen,1956-06-28,1956,6,28
Fidler,Mike,Mike Fidler,1956-08-19,1956,8,19
Durocher,Brian,Brian Durocher,1956-10-18,1956,10,18
Hetnik,Marc,Marc Hetnik,1956-11-25,1956,11,25
LeBlond,Bill,Bill LeBlond,1957-01-11,1957,1,11
Bethel,John,John Bethel,1957-01-15,1957,1,15
Boileau,Robert,Robert Boileau,1957-03-25,1957,3,25
Melanson,John,John Melanson,1957-03-29,1957,3,29
Craig,Jim,Jim Craig,1957-05-31,1957,5,31
O'Callahan,Jack,Jack O'Callahan,1957-06-24,1957,6,24
Silk,Dave,Dave Silk,1958-01-01,1958,1,1
Pidgeon,Mike,Mike Pidgeon,1958-01-27,1958,1,27
Johnson,Todd,Todd Johnson,1958-04-16,1958,4,16
Meagher,Tony,Tony Meagher,1958-06-19,1958,6,19
Whelton,Bill,Bill Whelton,1958-08-28,1958,8,28
Davies,Rob,Rob Davies,1958-12-18,1958,12,18
Cotter,Bill,Bill Cotter,1959-04-22,1959,4,22
Simpson,Steve,Steve Simpson,1959-05-26,1959,5,26
Weisman,Jeff,Jeff Weisman,1959-06-16,1959,6,16
Miller,Paul,Paul Miller,1959-08-21,1959,8,21
Fenton,Paul,Paul Fenton,1959-12-22,1959,12,22
MacLeod,Daryl,Daryl MacLeod,1960-02-10,1960,2,10
Sinclair,Marc,Marc Sinclair,1960-04-12,1960,4,12
Barich,Bob,Bob Barich,1960-06-29,1960,6,29
Carlacci,Cesare,Cesare Carlacci,1960-07-14,1960,7,14
LaGarde,Denis,Denis LaGarde,1960-10-29,1960,10,29
August,Jerry,Jerry August,1960-11-21,1958,11,21
Klapes,George,George Klapes,1960-11-22,1960,11,22
Carnevale,Dan,Dan Carnevale,1960-12-07,1960,12,7
Little,Tim,Tim Little,1961-01-07,1961,1,7
Pierog,Mark,Mark Pierog,1961-01-09,1961,1,9
Mays,Chris,Chris Mays,1961-02-04,1961,2,4
Darling,Bob,Bob Darling,1961-07-03,1961,7,3
Dunbar,Dale,Dale Dunbar,1961-10-14,1961,10,14
O'Regan,Tom,Tom O'Regan,1961-12-29,1961,12,29
Connolly,T.J.,T.J. Connolly,1962-01-10,1962,1,10
Mutch,Kevin,Kevin Mutch,1962-04-27,1962,4,27
Milton,Bruce,Bruce Milton,1962-06-24,1962,6,24
Barker,Fred,Fred Barker,1962-09-17,1962,9,17
Daskalakis,Cleon,Cleon Daskalakis,1962-09-29,1962,9,29
Jantzi,Mike,Mike Jantzi,1962-10-19,1962,10,19
Manty,Scott,Scott Manty,1962-11-02,1962,11,2
Van Camp,Carl,Carl Van Camp,1963-02-07,1963,2,7
Delorey,Joe,Joe Delorey,1963-02-09,1963,2,9
Gerlitz,Paul,Paul Gerlitz,1963-03-23,1963,3,23
Marshall,Peter,Peter Marshall,1963-10-14,1963,10,14
Majkozak,Tony,Tony Majkozak,1963-12-17,1963,12,17
Shaunessy,Scott,Scott Shaunessy,1964-01-22,1964,1,22
Cappellano,Joe,Joe Cappellano,1964-02-29,1964,2,29
Tiano,John,John Tiano,1964-04-25,1964,4,25
Matchett,Chris,Chris Matchett,1964-06-09,1964,6,9
MacGregor,Brad,Brad MacGregor,1964-07-22,1964,7,22
Sullivan,Chuck,Chuck Sullivan,1964-07-28,1964,7,28
Cullen,John,John Cullen,1964-08-02,1964,8,2
Thiesing,David,David Thiesing,1965-01-14,1965,1,14
Deraney,Bob,Bob Deraney,1965-03-07,1965,3,7
Octeau,Jay,Jay Octeau,1965-03-24,1965,3,24
Taillefer,Terry,Terry Taillefer,1965-07-23,1965,7,23
Lowney,Ed,Ed Lowney,1965-10-06,1965,10,6
Sanders,Scott,Scott Sanders,1965-11-03,1965,11,3
Donatelli,Clark,Clark Donatelli,1965-11-22,1965,11,22
Fish,Peter,Peter Fish,1966-01-03,1966,1,3
Ryan,Tom,Tom Ryan,1966-01-12,1966,1,12
Werner,Kris,Kris Werner,1966-01-21,1966,1,21
Sveen,Jeff,Jeff Sveen,1966-02-05,1966,2,5
Kentala,Ville,Ville Kentala,1966-02-21,1966,2,21
MacDougall,John,John MacDougall,1966-05-08,1966,5,8
Wood,Ian,Ian Wood,1966-05-22,1966,5,22
Foreman,Brian,Brian Foreman,1966-05-24,1966,5,24
Quinn,David,David Quinn,1966-07-30,1966,7,30
Kelfer,Mike,Mike Kelfer,1967-01-02,1967,1,2
Headon,Peter,Peter Headon,1967-01-18,1967,1,18
Labrosse,Eric,Eric Labrosse,1967-02-02,1967,2,2
Shaunessy,Steve,Steve Shaunessy,1967-05-07,1967,5,7
Ennis,Jim,Jim Ennis,1967-07-10,1967,7,10
Lappin,Chris,Chris Lappin,1967-08-19,1967,8,19
Young,Scott,Scott Young,1967-10-01,1967,10,1
McCann,Chris,Chris McCann,1967-10-13,1967,10,13
Bradley,John,John Bradley,1968-02-05,1968,2,5
Sullivan,Mike,Mike Sullivan,1968-02-27,1968,2,27
Ronan,Ed,Ed Ronan,1968-03-21,1968,3,21
Preston,John,John Preston,1968-04-04,1968,4,4
Ahola,Peter,Peter Ahola,1968-05-14,1968,5,14
Pesklewis,Matt,Matt Pesklewis,1968-05-21,1968,5,21
Lappin,Mike,Mike Lappin,1969-01-01,1969,1,1
Sacco,Joe,Joe Sacco,1969-02-04,1969,2,4
McEachern,Shawn,Shawn McEachern,1969-02-28,1969,2,28
Von Stefenelli,Phil,Phil Von Stefenelli,1969-04-10,1969,4,10
Dion,Tom,Tom Dion,1969-04-22,1969,4,22
Tomlinson,David,David Tomlinson,1969-05-08,1969,5,8
Krys,Mark,Mark Krys,1969-05-29,1969,5,29
Cashman,Scott,Scott Cashman,1969-09-20,1969,9,20
MacDonald,Darin,Darin MacDonald,1970-01-30,1970,1,30
Bavis,Mark,Mark Bavis,1970-03-13,1970,3,13
Bavis,Mike,Mike Bavis,1970-03-13,1970,3,13
Donato,Dan,Dan Donato,1970-05-15,1970,5,15
LaFort,Bryan,Bryan LaFort,1970-06-30,1970,6,30
Amonte,Tony,Tony Amonte,1970-08-02,1970,8,2
Pratt,Jon,Jon Pratt,1970-09-25,1970,9,25
Brownschidle,Mark,Mark Brownschidle,1970-10-26,1970,10,26
Jenkins,Jon,Jon Jenkins,1970-11-06,1970,11,6
O'Sullivan,Kevin,Kevin O'Sullivan,1970-11-13,1970,11,13
Linna,Kaj,Kaj Linna,1971-01-24,1971,1,24
Dahlberg,Dave,Dave Dahlberg,1971-02-23,1971,2,23
Foster,Stephen,Stephen Foster,1971-03-21,1971,3,21
Joubert,Jacques,Jacques Joubert,1971-03-23,1971,3,23
Koskimaki,Petteri,Petteri Koskimaki,1971-05-05,1971,5,5
Sacco,David,David Sacco,1971-07-31,1971,7,31
Friedman,Doug,Doug Friedman,1971-09-01,1971,9,1
Herlofsky,Derek,Derek Herlofsky,1971-10-01,1971,10,1
Legault,Alexandre,Alexandre Legault,1971-12-27,1971,12,27
McKersie,J.P.,J.P. McKersie,1972-01-23,1972,1,23
Tkachuk,Keith,Keith Tkachuk,1972-03-28,1972,3,28
Vachon,Nick,Nick Vachon,1972-07-20,1972,7,20
Lilley,John,John Lilley,1972-08-03,1972,8,3
Lachance,Scott,Scott Lachance,1972-10-22,1972,10,22
Prendergast,Mike,Mike Prendergast,1972-10-22,1972,10,22
Brennan,Rich,Rich Brennan,1972-11-26,1972,11,26
Thornton,Steve,Steve Thornton,1973-03-08,1973,3,8
Rausch,Kenny,Kenny Rausch,1973-03-26,1973,3,26
Wright,Matt,Matt Wright,1973-04-27,1973,4,27
Aucoin,Adrian,Adrian Aucoin,1973-07-03,1973,7,3
Pomichter,Mike,Mike Pomichter,1973-09-10,1973,9,10
Johnson,Shane,Shane Johnson,1974-01-01,1974,1,1
Wood,Doug,Doug Wood,1974-01-07,1974,1,7
Lachance,Bob,Bob Lachance,1974-02-01,1974,2,1
O'Sullivan,Chris,Chris O'Sullivan,1974-05-15,1974,5,15
Pierce,Bill,Bill Pierce,1974-10-06,1974,10,6
Walsh,Brendan,Brendan Walsh,1974-10-22,1974,10,22
Pandolfo,Jay,Jay Pandolfo,1974-12-27,1974,12,27
Grier,Mike,Mike Grier,1975-01-05,1975,1,5
Hynes,John,John Hynes,1975-02-10,1975,2,10
Coleman,Jon,Jon Coleman,1975-03-09,1975,3,9
Vuori,Juha,Juha Vuori,1975-03-21,1975,3,21
Noble,Tom,Tom Noble,1975-03-21,1975,3,21
Kelleher,Chris,Chris Kelleher,1975-03-23,1975,3,23
Bates,Shawn,Shawn Bates,1975-04-03,1975,4,3
Ferullo,Shawn,Shawn Ferullo,1975-04-03,1975,4,3
Roy,Travis,Travis Roy,1975-04-17,1975,4,17
Ronan,Dan,Dan Ronan,1975-06-18,1975,6,18
Donatelli,Peter,Peter Donatelli,1975-11-05,1975,11,5
Sylvia,Mike,Mike Sylvia,1976-02-05,1976,2,5
Degerman,Tommi,Tommi Degerman,1976-02-23,1976,2,23
Kealty,Jeff,Jeff Kealty,1976-04-09,1976,4,9
O'Connell,Albie,Albie O'Connell,1976-05-20,1976,5,20
Drury,Chris,Chris Drury,1976-08-20,1976,8,20
Larocque,Michel,Michel Larocque,1976-10-03,1976,10,3
King,Scott,Scott King,1977-01-21,1977,1,21
Hanson,Bobby,Bobby Hanson,1977-02-26,1977,2,26
Poti,Tom,Tom Poti,1977-03-22,1977,3,22
LaCouture,Dan,Dan LaCouture,1977-04-18,1977,4,18
Quebec,Greg,Greg Quebec,1978-02-02,1978,2,2
Bartlett,Russ,Russ Bartlett,1978-02-10,1978,2,10
Gillis,Nick,Nick Gillis,1978-02-20,1978,2,20
LoPresti,David,David LoPresti,1978-02-23,1978,2,23
Emery,Keith,Keith Emery,1978-03-30,1978,3,30
Tapp,Jason,Jason Tapp,1978-04-08,1978,4,8
Perry,Scott,Scott Perry,1978-10-12,1978,10,12
Bussoli,Mike,Mike Bussoli,1978-11-06,1978,11,6
Sheen,Colin,Colin Sheen,1979-01-17,1979,1,17
DiPenta,Joe,Joe DiPenta,1979-02-25,1979,2,25
Heron,Chris,Chris Heron,1979-04-08,1979,4,8
Corazzini,Carl,Carl Corazzini,1979-04-21,1979,4,21
DiMella,Mike,Mike DiMella,1979-07-18,1979,7,18
Pandolfo,Mike,Mike Pandolfo,1979-09-15,1979,9,15
Dyment,Chris,Chris Dyment,1979-10-24,1979,10,24
Baker,Jack,Jack Baker,1980-02-21,1980,2,21
Cavanaugh,Dan,Dan Cavanaugh,1980-03-03,1980,3,3
Cronin,John,John Cronin,1980-05-01,1980,5,1
Priem,Ryan,Ryan Priem,1980-06-05,1980,6,5
Warren,Andy,Andy Warren,1980-06-22,1980,6,22
Aufiero,Pat,Pat Aufiero,1980-07-01,1980,7,1
Collins,Brian,Brian Collins,1980-09-13,1980,9,13
Greeley,Stephen,Stephen Greeley,1980-09-26,1980,9,26
Meyer,Freddy,Freddy Meyer,1981-01-04,1981,1,4
Fields,Sean,Sean Fields,1981-03-06,1981,3,6
Mullen,Mark,Mark Mullen,1981-06-17,1981,6,17
Magowan,Ken,Ken Magowan,1981-07-22,1981,7,22
Sabo,John,John Sabo,1981-09-04,1981,9,4
Bjelajac,Kevin,Kevin Bjelajac,1981-09-15,1981,9,15
DiPietro,Rick,Rick DiPietro,1981-09-19,1981,9,19
Redlihs,Jekabs,Jekabs Redlihs,1982-03-29,1982,3,29
Klema,David,David Klema,1982-04-03,1982,4,3
Skladany,Frantisek,Frantisek Skladany,1982-04-22,1982,4,22
Zancanaro,Brad,Brad Zancanaro,1982-06-04,1982,6,4
Johnson,Gregg,Gregg Johnson,1982-06-18,1982,6,18
Siwiec,Stephen,Stephen Siwiec,1982-08-07,1982,8,7
Solimine,E.J.,E.J. Solimine,1982-08-31,1982,8,31
McConnell,Brian,Brian McConnell,1983-02-01,1983,2,1
Miller,Bryan,Bryan Miller,1983-02-17,1983,2,17
Whitney,Ryan,Ryan Whitney,1983-02-19,1983,2,19
Thomassian,Eric,Eric Thomassian,1983-04-04,1983,4,4
Radoslovich,Matt,Matt Radoslovich,1983-04-16,1983,4,16
Van der Gulik,David,David Van der Gulik,1983-04-20,1983,4,20
Gillespie,Karson,Karson Gillespie,1983-05-31,1983,5,31
Maiser,Justin,Justin Maiser,1983-06-29,1983,6,29
Laliberte,John,John Laliberte,1983-08-05,1983,8,5
Spang,Dan,Dan Spang,1983-08-16,1983,8,16
Morrow,Thomas,Thomas Morrow,1983-10-21,1983,10,21
Dunlap,Adam,Adam Dunlap,1983-11-08,1983,11,8
Roche,Kenny,Kenny Roche,1984-01-02,1984,1,2
Weston,Ryan,Ryan Weston,1984-01-09,1984,1,9
Sanders,Craig,Craig Sanders,1984-01-16,1984,1,16
Curry,John,John Curry,1984-02-27,1984,2,27
Sullivan,Sean,Sean Sullivan,1984-03-29,1984,3,29
Kielt,Kevin,Kevin Kielt,1984-07-05,1984,7,5
Gilroy,Matt,Matt Gilroy,1984-07-30,1984,7,30
Schaeffer,Kevin,Kevin Schaeffer,1984-10-16,1984,10,16
Ewing,Bryan,Bryan Ewing,1985-01-23,1985,1,23
Yip,Brandon,Brandon Yip,1985-04-25,1985,4,25
Monaghan,Ryan,Ryan Monaghan,1985-05-30,1985,5,30
MacArthur,Pete,Pete MacArthur,1985-06-20,1985,6,20
McGuirk,Brian,Brian McGuirk,1985-07-11,1985,7,11
Percella,Pat,Pat Percella,1985-08-13,1985,8,13
Bourque,Chris,Chris Bourque,1986-01-29,1986,1,29
McGoff,Dan,Dan McGoff,1986-03-12,1986,3,12
Higgins,Chris,Chris Higgins,1986-04-30,1986,4,30
Smolinsky,Steve,Steve Smolinsky,1986-05-22,1986,5,22
McCarthy,John,John McCarthy,1986-08-09,1986,8,9
Lawrence,Jason,Jason Lawrence,1987-02-02,1987,2,2
Cohen,Zach,Zach Cohen,1987-02-06,1987,2,6
Pereira,Joe,Joe Pereira,1987-03-28,1987,3,28
Gilroy,Kevin,Kevin Gilroy,1987-07-08,1987,7,8
Connolly,Chris,Chris Connolly,1987-07-23,1987,7,23
Kraus,Adam,Adam Kraus,1987-07-25,1987,7,25
Saponari,Victor,Victor Saponari,1987-11-15,1987,11,15
Strait,Brian,Brian Strait,1988-01-04,1988,1,4
Bennett,Brett,Brett Bennett,1988-03-08,1988,3,8
Popko,Luke,Luke Popko,1988-03-29,1988,3,29
Ruikka,Ryan,Ryan Ruikka,1988-03-31,1988,3,31
Moscatel,Jake,Jake Moscatel,1988-04-10,1988,4,10
Gryba,Eric,Eric Gryba,1988-04-18,1988,4,18
Bonino,Nick,Nick Bonino,1988-04-20,1988,4,20
Gaudet,Ross,Ross Gaudet,1988-08-26,1988,8,26
Santana,Ryan,Ryan Santana,1988-11-22,1988,11,22
Rosen,Ben,Ben Rosen,1989-01-07,1989,1,7
Cohen,Colby,Colby Cohen,1989-01-29,1989,1,29
Shattenkirk,Kevin,Kevin Shattenkirk,1989-01-29,1989,1,29
Courtnall,Justin,Justin Courtnall,1989-05-21,1989,5,21
Glass,Andrew,Andrew Glass,1989-07-14,1989,7,14
Rollheiser,Grant,Grant Rollheiser,1989-07-24,1989,7,24
Millan,Kieran,Kieran Millan,1989-08-31,1989,8,31
Wilson,Colin,Colin Wilson,1989-10-20,1989,10,20
Ronan,Matt,Matt Ronan,1990-01-02,1990,1,2
Trivino,Corey,Corey Trivino,1990-01-12,1990,1,12
Saponari,Vinny,Vinny Saponari,1990-02-15,1990,2,15
Nicastro,Max,Max Nicastro,1990-03-02,1990,3,2
Warsofsky,David,David Warsofsky,1990-05-30,1990,5,30
MacGregor,Patrick,Patrick MacGregor,1990-07-12,1990,7,12
Megan,Wade,Wade Megan,1990-07-22,1990,7,22
Chiasson,Alex,Alex Chiasson,1990-10-01,1990,10,1
Escobedo,Sean,Sean Escobedo,1990-10-27,1990,10,27
Moccia,Anthony,Anthony Moccia,1990-12-23,1990,12,23
Noonan,Garrett,Garrett Noonan,1991-01-28,1991,1,28
Carrabino,J.D.,J.D. Carrabino,1991-02-17,1991,2,17
Moran,Mike,Mike Moran,1991-09-07,1991,9,7
O'Connor,Matt,Matt O'Connor,1992-02-14,1992,2,14
Coyle,Charlie,Charlie Coyle,1992-03-02,1992,3,2
Cissé,Yasin,Yasin Cissé,1992-03-11,1992,3,11
Gill,Sahir,Sahir Gill,1992-04-21,1992,4,21
Clendening,Adam,Adam Clendening,1992-10-26,1992,10,26
Nieto,Matt,Matt Nieto,1992-11-05,1992,11,5
Ryan,T.J.,T.J. Ryan,1992-11-13,1992,11,13
Hohmann,Cason,Cason Hohmann,1993-01-10,1993,1,10
Privitera,Alexx,Alexx Privitera,1993-01-18,1993,1,18
Maguire,Sean,Sean Maguire,1993-02-02,1993,2,2
Oksanen,Ahti,Ahti Oksanen,1993-03-10,1993,3,10
Rodrigues,Evan,Evan Rodrigues,1993-07-28,1993,7,28
Collier,Brendan,Brendan Collier,1993-10-08,1993,10,8
Baillargeon,Robbie,Robbie Baillargeon,1993-11-26,1993,11,26
Grzelcyk,Matt,Matt Grzelcyk,1994-01-05,1994,1,5
Duane,Kevin,Kevin Duane,1994-01-16,1994,1,16
O'Regan,Danny,Danny O'Regan,1994-01-30,1994,1,30
Lane,Matt,Matt Lane,1994-03-15,1994,3,15
Roberto,Nick,Nick Roberto,1994-04-04,1994,4,4
Kurker,Sam,Sam Kurker,1994-04-08,1994,4,8
LaCouvee,Connor,Connor LaCouvee,1994-05-24,1994,5,24
Brink,Alex,Alex Brink,1994-06-12,1994,6,12
Olsson,Nikolas,Nikolas Olsson,1994-06-14,1994,6,14
Somerby,Doyle,Doyle Somerby,1994-07-04,1994,7,4
MacAfee,Dalton,Dalton MacAfee,1994-07-08,1994,7,8
Kelley,Tommy,Tommy Kelley,1994-09-15,1994,9,15
Melanson,Drew,Drew Melanson,1995-01-10,1995,1,10
Willman,Max,Max Willman,1995-02-13,1995,2,13
Lawrence,Dillon,Dillon Lawrence,1995-03-22,1995,3,22
Andrén,Oskar,Oskar Andrén,1995-03-29,1995,3,29
AndrÃ©n,Oskar,Oskar AndrÃ©n,1995-03-29,1995,3,29
Diffley,Brien,Brien Diffley,1995-07-08,1995,7,8
Cloonan,Ryan,Ryan Cloonan,1995-07-20,1995,7,20
Switzer,Shane,Shane Switzer,1995-11-13,1995,11,13
Curry,Patrick,Patrick Curry,1996-01-09,1996,1,9
Udahl,Erik,Erik Udahl,1996-03-31,1996,3,31
Hickey,Brandon,Brandon Hickey,1996-04-13,1996,4,13
Tucker,Sam,Sam Tucker,1996-04-16,1996,4,16
Phelps,Chase,Chase Phelps,1996-04-26,1996,4,26
MacLeod,John,John MacLeod,1996-06-02,1996,6,2
Fortunato,Brandon,Brandon Fortunato,1996-06-07,1996,6,7
Piccinich,J.J.,J.J. Piccinich,1996-06-12,1996,6,12
Kaufman,Max,Max Kaufman,1996-06-26,1996,6,26
Carpenter,Bobo,Bobo Carpenter,1996-08-16,1996,8,16
Eichel,Jack,Jack Eichel,1996-10-28,1996,10,28
Forsbacka Karlsson,Jakob,Jakob Forsbacka Karlsson,1996-10-31,1996,10,31
Greer,A.J.,A.J. Greer,1996-12-14,1996,12,14
Greenway,Jordan,Jordan Greenway,1997-02-12,1997,2,12
Prawdzik,Max,Max Prawdzik,1997-02-22,1997,2,22
McDermott,Johnny,Johnny McDermott,1997-05-15,1997,5,15
McAvoy,Charlie,Charlie McAvoy,1997-12-21,1997,12,21
Blixt,Hugo,Hugo Blixt,1998-01-02,1998,1,2
Amonte,Ty,Ty Amonte,1998-01-11,1998,1,11
Schena,Patrick,Patrick Schena,1998-01-13,1998,1,13
Howard,Nick,Nick Howard,1998-02-01,1998,2,1
Chabot,Gabriel,Gabriel Chabot,1998-02-14,1998,2,14
Crone,Hank,Hank Crone,1998-02-19,1998,2,19
Krys,Chad,Chad Krys,1998-04-10,1998,4,10
Campolieto,Joseph,Joseph Campolieto,1998-04-29,1998,4,29
Lynch,Nico,Nico Lynch,1998-05-09,1998,5,9
Bellows,Kieffer,Kieffer Bellows,1998-06-10,1998,6,10
Fabbro,Dante,Dante Fabbro,1998-06-20,1998,6,20
Driscoll,Sean,Sean Driscoll,1998-07-02,1998,7,2
Harper,Patrick,Patrick Harper,1998-07-29,1998,7,29
Keller,Clayton,Clayton Keller,1998-07-29,1998,7,29
Armstrong,Jamie,Jamie Armstrong,1998-08-07,1998,8,7
Purpura,Vinnie,Vinnie Purpura,1998-10-29,1998,10,29
Kotkansalo,Kasper,Kasper Kotkansalo,1998-11-18,1998,11,18
Oettinger,Jake,Jake Oettinger,1998-12-18,1998,12,18
Girard,Billy,Billy Girard,1999-01-27,1999,1,27
Quercia,Matthew,Matthew Quercia,1999-02-24,1999,2,24
Copeland,John,John Copeland,1999-03-03,1999,3,3
Cockerill,Logan,Logan Cockerill,1999-03-03,1999,3,3
Duplessis,Vinny,Vinny Duplessis,1999-03-19,1999,3,19
Crotty,Cam,Cam Crotty,1999-05-05,1999,5,5
Boguslavsky,Markus,Markus Boguslavsky,1999-05-15,1999,5,15
Witkowski,Jake,Jake Witkowski,1999-06-23,1999,6,23
Farrance,David,David Farrance,1999-06-23,1999,6,23
Cheremeta,Mark,Mark Cheremeta,1999-07-12,1999,7,12
Skoog,Wilmer,Wilmer Skoog,1999-07-17,1999,7,17
Bowers,Shane,Shane Bowers,1999-07-30,1999,7,30
Brown,Matt,Matt Brown,1999-08-09,1999,8,9
Tkachuk,Brady,Brady Tkachuk,1999-09-16,1999,9,16
Abel,Ashton,Ashton Abel,1999-10-22,1999,10,22
O'Brien,Jay,Jay O'Brien,1999-11-04,1999,11,4
Amonte,Tristan,Tristan Amonte,2000-02-01,2000,2,1
Farabee,Joel,Joel Farabee,2000-02-25,2000,2,25
Wise,Jake,Jake Wise,2000-02-28,2000,2,28
Caron,Mathieu,Mathieu Caron,2000-03-29,2000,3,29
Stevens,Sam,Sam Stevens,2000-04-27,2000,4,27
Graham,Henry,Henry Graham,2000-07-25,2000,7,25
Engum,Brehdan,Brehdan Engum,2000-08-10,2000,8,10
DeBoer,Jack,Jack DeBoer,2000-08-17,2000,8,17
Webber,Cade,Cade Webber,2001-01-05,2001,1,5
McCarthy,Case,Case McCarthy,2001-01-09,2001,1,9
Mastrosimone,Robert,Robert Mastrosimone,2001-01-24,2001,1,24
Zegras,Trevor,Trevor Zegras,2001-03-20,2001,3,20
Zabaneh,Nick,Nick Zabaneh,2001-03-27,2001,3,27
Jarman,Thomas,Thomas Jarman,2001-04-09,2001,4,9
Phillips,Ethan,Ethan Phillips,2001-05-07,2001,5,7
Vlasic,Alex,Alex Vlasic,2001-06-05,2001,6,5
Carrabes,Brian,Brian Carrabes,2001-08-01,2001,8,1
Fensore,Domenick,Domenick Fensore,2001-09-07,2001,9,7
Page,Jack,Jack Page,2001-11-27,2001,11,27
Hutson,Quinn,Quinn Hutson,2002-01-01,2002,1,1
Peterson,Dylan,Dylan Peterson,2002-01-08,2002,1,8
Getz,Lachlan,Lachlan Getz,2002-02-01,2002,2,1
Gorton,Jack,Jack Gorton,2002-02-13,2002,2,13
Tuch,Luke,Luke Tuch,2002-03-07,2002,3,7
Grimes,Doug,Doug Grimes,2002-04-18,2002,4,18
Commesso,Drew,Drew Commesso,2002-07-19,2002,7,19
Gallagher,Ty,Ty Gallagher,2003-03-06,2003,3,6
McLaughlin,Owen,Owen McLaughlin,2003-03-25,2003,3,25
Harvey,Jack,Jack Harvey,2003-03-31,2003,3,31
Copponi,Matt,Matt Copponi,2003-06-04,2003,6,4
